Numéro;Intitulé
1;Nombres
2;Premières associations
3;Le bâton de marche et la goutte
4;Jambes et pattes
5;La droite et la gauche
6;L’enfant et la mère
7;Le saint-bernard
8;Des éléments
9;Le cercle
10;L’arbre
11;La tortue et autres animaux
12;Des métaux
13;Voyage
14;Couronne
15;Étude
16;Variations sur la fléchette
17;La marche
18;Vêtements et intempéries
19;Une muselière
20;Premiers animaux
21;Déformations
22;La main
23;Sortie et entrée
24;Quelques personnes
25;Des plantes
26;L’homme à facettes
27;Vrac
28;Bannière
29;L’autel
30;Des outils
31;Reconstruction
32;Dernières cartouches
33;Une personne
34;Le haut et le bas
35;Le fil
36;Administration
37;Boire, manger
38;D’autres plantes
39;D’autres plantes
40;Sept heures moins le quart
41;Portail
42;La pomme de terre
43;Maladies
44;Formes et couleurs
45;Quelques contenants
46;Position
47;Lignes
48;Gens et lieux
49;La drague et le porte-manteaux
50;Diversité
51;Des animaux
52;Petits animaux
53;Gros animaux
54;Êtres fantastiques
